TeamID,PlayerID,Leg,Period,X1 Pixels,Y1 Pixels,X2,Y2,X1 Metres,Y1 Metres,Quality,Type,Column,Line,Distance,MatchTime,OwnScoreBefore,OwnScoreAfter,OppScore,Year
TM09VS9KKH,PL3QSQCQ30,3,2,237,357,205,600,39.5,59.5,1,2,8,9,41,0.270138889,0,3,7,2000
TM09VS9KKH,PL3QSQCQ30,3,2,213,450,215,600,35.5,75.0,1,2,8,5,25,0.459861111,3,6,7,2000
TM09VS9KKH,PL3QSQCQ30,3,3,49,362,213,603,8.2,60.3,2,2,2,8,48,15:41:36,6,6,7,2000
TM09VS9KKH,PL3QSQCQ30,3,5,385,458,168,608,64.2,76.3,2,2,13,5,38,26:21:52,6,6,7,2000
TM09VS9KKH,PL3QSQCQ30,3,5,164,343,215,622,27.3,57.2,1,2,6,9,44,29:38:72,6,9,7,2000
TM09VS9KKH,PL3QSQCQ30,3,7,291,482,210,614,48.5,80.3,1,1,10,4,24,39:44:60,14,16,7,2000
TM09VS9KKH,PL3QSQCQ30,3,7,213,523,209,618,35.5,87.2,1,1,8,3,13,41:56:08,21,23,7,2000
TM09VS9KKH,PL3QSQCQ30,3,14,154,498,210,598,25.7,83.0,1,1,6,4,19,74:48:64,28,30,14,2000
TM09VS9KKH,PL3QSQCQ30,3,15,386,459,232,598,64.3,76.5,2,1,13,5,38,80:44:04,35,35,14,2000
TM09VS9KKH,PL3QSQCQ30,3,15,414,449,210,600,69.0,74.8,1,1,14,6,42,84:32:40,40,42,14,2000
TM09VS9KKH,PL3QSQCQ30,3,4,197,420,207,601,32.8,70.0,1,2,7,6,30,18:47:20,0,3,10,2000
TM09VS9KKH,PL3QSQCQ30,3,8,210,526,211,601,35.0,87.7,1,1,7,3,12,38:26:08,8,10,17,2000
TM09VS9KKH,PL3QSQCQ30,3,9,90,339,239,576,15.0,56.5,2,2,3,9,48,46:34:56,10,10,17,2000
TM09VS9KKH,PL3QSQCQ30,3,9,335,455,198,626,55.8,75.8,1,1,12,5,32,51:14:20,15,17,17,2000
TM09VS9KKH,PL3QSQCQ30,3,11,379,443,152,617,63.2,73.8,2,2,13,6,38,63:01:24,17,17,17,2000
TM09VS9KKH,PL3QSQCQ30,3,16,206,509,208,616,34.3,84.8,1,1,7,4,15,83:52:16,22,24,17,2000
TM09VS9KKH,PL3QSQCQ30,3,2,393,466,233,606,65.5,77.7,2,1,14,5,38,10:41:44,5,5,3,2000
TM09VS9KKH,PLOFQEWAOU,3,3,229,397,5,529,38.2,66.2,2,2,8,7,34,13:05:44,5,5,3,2000
